SITE FOLDER NAME,COUNTY,LATITUDE,LONGITUDE,FIRST YEAR,LAST YEAR,NUMBER OF MONTHS WITH OBSERVATIONS,NUMBER OF GAPS
AGHALEE-LURGAN,ANTRIM,54.5227,-6.2657,1868,1893,300,12
AHASCRAGH-CLONBROCK,GALWAY,53.4070,-8.3863,1874,1940,804,0
AIGBURTH,LANCASHIRE,53.3745,-2.9265,1880,1938,617,91
AIGBURTH-HOLMFIELD,LANCASHIRE,53.3705,-2.9141,1890,1929,476,4
AILSA-CRAIG,AYRSHIRE,55.2523,-5.1090,1886,1960,883,17
AIRDRIE-BROOMKNOLL-STREET,LANARKSHIRE,55.8631,-3.9797,1904,1960,684,0
AIRDRIE-FORRESTBURN-RES,LANARKSHIRE,55.8641,-3.8007,1904,1960,672,12
AIRDRIE-HILLEND,LANARKSHIRE,55.8872,-3.8786,1860,1951,1082,22
AISHOLT-TIMBERCOMBE,SOMERSET,51.0926,-3.1366,1906,1935,347,13
AISLABY-PARK-HALL,YORKSHIRE NORTH RIDING,54.4660,-0.6730,1903,1954,618,6
AITNACH,ABERDEENSHIRE,57.0136,-2.9683,1916,1957,451,53
ALCESTER-COOKHILL,WORCESTERSHIRE,52.2283,-1.9238,1912,1960,577,11
ALCESTER-RAGLEY,WARWICKSHIRE,52.1978,-1.8970,1881,1950,840,0
ALCESTER-SAMBOURNE,WARWICKSHIRE,52.2705,-1.9208,1867,1873,75,9
ALDBOROUGH-ALDRINGHAM,SUFFOLK,52.1947,1.5790,1885,1917,396,0
ALDERLEY-RECTORY,CHESHIRE,53.2816,-2.2399,1815,1824,120,0
ALDERMASTON-WHARF,BERKSHIRE,51.3998,-1.1375,1897,1910,168,0
ALDERNEY-AIRPORT,ALDERNEY,49.7073,-2.2109,1957,1960,46,2
ALDERNEY-HARBOUR,ALDERNEY,49.7217,-2.2017,1851,1871,252,0
ALDERNEY-ST-ANNE,ALDERNEY,49.7129,-2.2074,1906,1939,407,1
ALDERSHOT,HAMPSHIRE,51.2368,-0.7644,1886,1893,96,0
ALDERSHOT-BOURLEY-WW,HAMPSHIRE,51.2491,-0.8123,1864,1875,144,0
ALDERSHOT-CAMP,HAMPSHIRE,51.2569,-0.7597,1858,1875,216,0
ALDERSHOT-SEWAGE-WORKS,HAMPSHIRE,51.2472,-0.7375,1904,1930,320,4
ALDERSHOT-WW,HAMPSHIRE,51.2364,-0.7638,1920,1960,492,0
ALDERWASLEY,DERBYSHIRE,53.0759,-1.5148,1866,1919,444,204
ALDHAM,SUFFOLK,52.0715,0.9605,1851,1869,228,0
ALDRIDGE-BOURNE-VALE,STAFFORDSHIRE,52.5950,-1.8922,1916,1960,540,0
ALDWINKLE-ST-PETER,NORTHAMPTONSHIRE,52.4249,-0.5220,1892,1920,341,7
ALDWORTH-READING,BERKSHIRE,51.5108,-1.2031,1838,1848,97,35
ALFORD-ABERDEENSHIRE,ABERDEENSHIRE,57.2336,-2.7418,1835,1842,96,0
ALFORD-CEMETERY,LINCOLNSHIRE,53.2570,0.1840,1884,1924,480,12
ALICE-HOLT-FOREST,HAMPSHIRE,51.1679,-0.8400,1917,1954,410,46
ALKHAM-LOWER-STANDEN,KENT,51.1191,1.1993,1899,1960,744,0
ALLENHEADS,NORTHUMBERLAND,54.8060,-2.2224,1837,1960,1058,430
ALLOA-CLACKMANNAN,CLACKMANNANSHIRE,56.1105,-3.8031,1838,1856,84,144
ALLOA-HOUSE-GDNS,CLACKMANNANSHIRE,56.1124,-3.7834,1909,1956,576,0
ALLOA-MAR-STREET,CLACKMANNANSHIRE,56.1153,-3.7937,1890,1913,288,0
ALLOA-WW-GARTMORN-RES,CLACKMANNANSHIRE,56.1237,-3.7469,1907,1960,638,10
ALLT-A-CHOIN,PERTHSHIRE,56.2963,-4.5645,1914,1960,557,7
ALNESS-ARDROSS-CASTLE,ROSS AND CROMARTY,57.7351,-4.3346,1862,1937,906,6
ALNESS-ARDROSS-SCHOOL,ROSS AND CROMARTY,57.7316,-4.2789,1936,1960,300,0
ALNWICK-CASTLE,NORTHUMBERLAND,55.4151,-1.7078,1878,1922,488,52
ALNWICK-GLANTON-PIKE,NORTHUMBERLAND,55.4217,-1.9099,1862,1935,733,155
